"CIK","COMPANY_NAME","FORM_TYPE","DATE_FILED","EDGAR_LINK","QUARTER","TICKER","SIC","EXCHANGE","HITS","YEAR"
1006837,"PRIMUS TELECOMMUNICATIONS GROUP INC","10-K","2013-03-14","edgar/data/1006837/0001193125-13-107657.txt",1,"HCHC"," Inc.","4813","OTC Markets",2013
1007019,"COFFEE HOLDING CO INC","10-K","2013-01-28","edgar/data/1007019/0001354488-13-000337.txt",1,"JVA","2080","NASDAQ","1",2013
100716,"UNICO AMERICAN CORP","10-K","2013-03-29","edgar/data/100716/0000100716-13-000005.txt",1,"UNAM","6331","NASDAQ","1",2013
1007273,"BANK OF SOUTH CAROLINA CORP","10-K","2013-03-05","edgar/data/1007273/0001387131-13-000613.txt",1,"BKSC","6022","NASDAQ","1",2013
1007330,"PRGX GLOBAL  INC ","10-K","2013-03-13","edgar/data/1007330/0001193125-13-105456.txt",1,"PRGX","8700","NASDAQ","1",2013
100826,"UNION ELECTRIC CO","10-K","2013-03-01","edgar/data/100826/0001445305-13-000414.txt",1,"UEP","4911","","0",2013
1008654,"TUPPERWARE BRANDS CORP","10-K","2013-02-26","edgar/data/1008654/0001008654-13-000008.txt",1,"TUP","3089","NYSE","0",2013
1008817,"SAPIENT CORP","10-K","2013-02-28","edgar/data/1008817/0001193125-13-084756.txt",1,"SAPE","7373","NASDAQ","0",2013
1008848,"ACORDA THERAPEUTICS INC","10-K","2013-02-28","edgar/data/1008848/0001008848-13-000011.txt",1,"ACOR","2836","NASDAQ","7",2013
100885,"UNION PACIFIC CORP","10-K","2013-02-08","edgar/data/100885/0001193125-13-045658.txt",1,"UNP","4011","NYSE","4",2013
1009356,"SALIX PHARMACEUTICALS LTD","10-K","2013-03-01","edgar/data/1009356/0001193125-13-085041.txt",1,"SLXP","2834","NASDAQ","0",2013
1009672,"CARBO CERAMICS INC","10-K","2013-02-25","edgar/data/1009672/0001193125-13-074252.txt",1,"CRR","3290","NYSE","1",2013
1009829,"JAKKS PACIFIC INC","10-K","2013-03-15","edgar/data/1009829/0001157523-13-001430.txt",1,"JAKK","3944","NASDAQ","1",2013
1009891,"AIR INDUSTRIES GROUP  INC ","10-K","2013-03-29","edgar/data/1009891/0001193805-13-000723.txt",1,"ASHN","3728","NASDAQ","1",2013
1009976,"COMMERCIAL BANCSHARES INC  OH ","10-K","2013-03-26","edgar/data/1009976/0001144204-13-017538.txt",1,"CMOH","6022","OTC","0",2013
1010086,"SIGA TECHNOLOGIES INC","10-K","2013-03-06","edgar/data/1010086/0001010086-13-000004.txt",1,"SIGA","2834","NASDAQ","0",2013
1010552,"POLYCOM INC","10-K","2013-02-14","edgar/data/1010552/0001193125-13-060284.txt",1,"PLCM","3661","NASDAQ","1",2013
1010612,"SYKES ENTERPRISES INC","10-K","2013-03-01","edgar/data/1010612/0001193125-13-087726.txt",1,"SYKE","7373","NASDAQ","1",2013
101063,"CHIQUITA BRANDS INTERNATIONAL INC","10-K","2013-03-18","edgar/data/101063/0000101063-13-000036.txt",1,"CQB","100","NYSE","2",2013
1011006,"YAHOO INC","10-K","2013-03-01","edgar/data/1011006/0001193125-13-085111.txt",1,"YHOO","7373","NASDAQ","15",2013
1011174,"BRE PROPERTIES INC  MD ","10-K","2013-02-15","edgar/data/1011174/0001193125-13-061095.txt",1,"BRE","6798","NYSE","0",2013
1011432,"AUXILIO INC","10-K","2013-03-28","edgar/data/1011432/0001445866-13-000278.txt",1,"AUXO","7389","OTC","0",2013
1011509,"Golden Minerals Co","10-K","2013-03-01","edgar/data/1011509/0001047469-13-002050.txt",1,"AUM","1040","NYSE","0",2013
1011570,"KNOLL INC","10-K","2013-03-01","edgar/data/1011570/0001047469-13-002047.txt",1,"KNL","2590","NYSE","0",2013
1011659,"UNIONBANCAL CORP","10-K","2013-03-11","edgar/data/1011659/0001193125-13-101371.txt",1,"UB","6021","","0",2013
1011835,"MEDIVATION  INC ","10-K","2013-02-28","edgar/data/1011835/0001193125-13-084368.txt",1,"MDVN","2834","NASDAQ","2",2013
101199,"UNITED FIRE GROUP INC","10-K","2013-03-04","edgar/data/101199/0000101199-13-000014.txt",1,"UFCS","6331","NASDAQ","1",2013
1012019,"RUSH ENTERPRISES INC  TX ","10-K","2013-03-15","edgar/data/1012019/0001437749-13-002970.txt",1,"RUSH","5500","","1",2013
1012100,"SEALED AIR CORP DE","10-K","2013-03-01","edgar/data/1012100/0001193125-13-087879.txt",1,"SEE","2820","","2",2013
1012140,"ONYX PHARMACEUTICALS INC","10-K","2013-02-28","edgar/data/1012140/0001047469-13-001966.txt",1,"ONXX","2836","NASDAQ","0",2013
1012569,"Energy Transfer Partners  L P ","10-K","2013-03-01","edgar/data/1012569/0001012569-13-000013.txt",1,"ETP","4922","NYSE","1",2013
1012620,"GENESEE   WYOMING INC","10-K","2013-03-01","edgar/data/1012620/0001012620-13-000003.txt",1,"GWR","4011","NYSE","0",2013
1012771,"FBL FINANCIAL GROUP INC","10-K","2013-02-14","edgar/data/1012771/0001012771-13-000008.txt",1,"FFG","6311","NYSE","0",2013
101295,"UNITED GUARDIAN INC","10-K","2013-03-21","edgar/data/101295/0001171843-13-001097.txt",1,"UG","2844","NASDAQ","1",2013
1013238,"ARADIGM CORP","10-K","2013-03-27","edgar/data/1013238/0001193125-13-128133.txt",1,"ARDM","3845","OTC","1",2013
1013272,"NORWOOD FINANCIAL CORP","10-K","2013-03-14","edgar/data/1013272/0000946275-13-000093.txt",1,"NWFL","6022","NASDAQ","1",2013
1013462,"ANSYS INC","10-K","2013-02-28","edgar/data/1013462/0001013462-13-000003.txt",1,"ANSS","7372","NASDAQ","1",2013
1013488,"BJs RESTAURANTS INC","10-K","2013-02-25","edgar/data/1013488/0001193125-13-074282.txt",1,"BJRI","5812","NASDAQ","2",2013
1013606,"ENDOLOGIX INC  DE ","10-K","2013-03-14","edgar/data/1013606/0001013606-13-000019.txt",1,"ELGX","3841","NASDAQ","1",2013
101382,"UMB FINANCIAL CORP","10-K","2013-02-25","edgar/data/101382/0001193125-13-073860.txt",1,"UMBF","6021","NASDAQ","1",2013
1013844,"COLONIAL REALTY LIMITED PARTNERSHIP","10-K","2013-02-28","edgar/data/1013844/0000909111-13-000014.txt",1,"CRLP","6798","","0",2013
1013857,"PEGASYSTEMS INC","10-K","2013-02-20","edgar/data/1013857/0001193125-13-067337.txt",1,"PEGA","7374","NASDAQ","1",2013
1013871,"NRG ENERGY  INC ","10-K","2013-02-27","edgar/data/1013871/0001013871-13-000003.txt",1,"NRG","4911","NYSE","0",2013
1013880,"TELETECH HOLDINGS INC","10-K","2013-02-26","edgar/data/1013880/0001104659-13-014418.txt",1,"TTEC","7363","NASDAQ","1",2013
1013934,"STRAYER EDUCATION INC","10-K","2013-02-19","edgar/data/1013934/0001213900-13-000794.txt",1,"STRA","8200","NASDAQ","2",2013
1014111,"IMATION CORP","10-K","2013-03-13","edgar/data/1014111/0001014111-13-000008.txt",1,"IMN","3695","NYSE","0",2013
1014473,"VERISIGN INC CA","10-K","2013-02-28","edgar/data/1014473/0001014473-13-000006.txt",1,"VRSN","7371","NASDAQ","1",2013
1014739,"BioScrip  Inc ","10-K","2013-03-15","edgar/data/1014739/0001014739-13-000002.txt",1,"BIOS","5912","NASDAQ","1",2013
1015155,"CHARLES   COLVARD LTD","10-K","2013-03-29","edgar/data/1015155/0001015155-13-000008.txt",1,"CTHR","3910","NASDAQ","1",2013
1015328,"WINTRUST FINANCIAL CORP","10-K","2013-02-28","edgar/data/1015328/0001015328-13-000073.txt",1,"WTFC","6022","NASDAQ","1",2013
101538,"UNITED STATES ANTIMONY CORP","10-K","2013-03-18","edgar/data/101538/0001354488-13-001259.txt",1,"UAMY","3330","NYSE MKT","0",2013
1015593,"RIVER VALLEY BANCORP","10-K","2013-03-19","edgar/data/1015593/0000908834-13-000143.txt",1,"RIVR","6035","NASDAQ","1",2013
1015739,"AWARE INC  MA ","10-K","2013-02-19","edgar/data/1015739/0001188112-13-000422.txt",1,"AWRE","3674","NASDAQ","1",2013
1015780,"E TRADE FINANCIAL Corp","10-K","2013-02-26","edgar/data/1015780/0001193125-13-077166.txt",1,"ETFC","6035","NASDAQ","3",2013
101594,"US ENERGY CORP","10-K","2013-03-18","edgar/data/101594/0000101594-13-000008.txt",1,"USEG","1311","NASDAQ","1",2013
1016125,"ULTIMATE SOFTWARE GROUP INC","10-K","2013-02-28","edgar/data/1016125/0001016125-13-000005.txt",1,"ULTI","7372","NASDAQ","1",2013
1016169,"ANTARES PHARMA  INC ","10-K","2013-03-13","edgar/data/1016169/0001193125-13-105398.txt",1,"ATRS","3841","NASDAQ","1",2013
1016281,"CARRIAGE SERVICES INC","10-K","2013-03-18","edgar/data/1016281/0001445305-13-000649.txt",1,"CSV","7200","NYSE","0",2013
1017303,"TRANSACT TECHNOLOGIES INC","10-K","2013-03-15","edgar/data/1017303/0001017303-13-000017.txt",1,"TACT","3577","NASDAQ","1",2013
1017491,"APRICUS BIOSCIENCES  INC ","10-K","2013-03-18","edgar/data/1017491/0001193125-13-111046.txt",1,"NEXM","2834","","0",2013
1017673,"DOVER MOTORSPORTS INC","10-K","2013-03-08","edgar/data/1017673/0001104659-13-018851.txt",1,"DVD","7900","NYSE","0",2013
1017712,"HOT TOPIC INC  CA ","10-K","2013-03-22","edgar/data/1017712/0001157523-13-001515.txt",1,"HOTT","5990","","0",2013
101778,"MARATHON OIL CORP","10-K","2013-02-22","edgar/data/101778/0000101778-13-000006.txt",1,"MRO","1311","NYSE","0",2013
1017793,"SUN BANCORP INC  NJ ","10-K","2013-03-18","edgar/data/1017793/0001193125-13-111048.txt",1,"SNBC","6029","NASDAQ","1",2013
1017907,"FIRST ACCEPTANCE CORP  DE ","10-K","2013-02-26","edgar/data/1017907/0001193125-13-076833.txt",1,"FAC","6331","NYSE","0",2013
1017968,"EDGEWATER TECHNOLOGY INC DE ","10-K","2013-03-08","edgar/data/1017968/0001193125-13-097839.txt",1,"EDGW","7370","NASDAQ","1",2013
1018003,"INGRAM MICRO INC","10-K","2013-02-27","edgar/data/1018003/0001193125-13-080225.txt",1,"IM","5045","NYSE","0",2013
1018005,"COLDWATER CREEK INC","10-K","2013-03-22","edgar/data/1018005/0001018005-13-000010.txt",1,"CWTR","5621","NASDAQ","0",2013
1018164,"WILLIS LEASE FINANCE CORP","10-K","2013-03-18","edgar/data/1018164/0001104659-13-021812.txt",1,"WLFC","5080","NASDAQ","1",2013
101829,"UNITED TECHNOLOGIES CORP  DE ","10-K","2013-02-07","edgar/data/101829/0001193125-13-042195.txt",1,"UTX","3724","NYSE","3",2013
101830,"SPRINT NEXTEL CORP","10-K","2013-02-28","edgar/data/101830/0000101830-13-000006.txt",1,"S","4813","NYSE","11",2013
1018399,"ENTERPRISE BANCORP INC  MA ","10-K","2013-03-15","edgar/data/1018399/0001018399-13-000011.txt",1,"EBTC","6022","NASDAQ","1",2013
1018724,"AMAZON COM INC","10-K","2013-01-30","edgar/data/1018724/0001193125-13-028520.txt",1,"AMZN","5961","NASDAQ","21",2013
1018946,"STEINER LEISURE Ltd","10-K","2013-03-15","edgar/data/1018946/0001018946-13-000007.txt",1,"STNR","7200","NASDAQ","2",2013
1018963,"ALLEGHENY TECHNOLOGIES INC","10-K","2013-02-28","edgar/data/1018963/0001193125-13-084310.txt",1,"ATI","3317","NYSE","0",2013
1018979,"AMERISAFE INC","10-K","2013-03-06","edgar/data/1018979/0001193125-13-094153.txt",1,"AMSF","6331","NASDAQ","1",2013
1019272,"EMPIRE RESOURCES INC  NEW ","10-K","2013-03-25","edgar/data/1019272/0001144204-13-017268.txt",1,"ERS","5051","NASDAQ","1",2013
1019695,"ARQULE INC","10-K","2013-03-14","edgar/data/1019695/0001188112-13-000660.txt",1,"ARQL","2834","NASDAQ","1",2013
1019737,"NAVIGANT CONSULTING INC","10-K","2013-02-15","edgar/data/1019737/0001193125-13-062913.txt",1,"NCI","8742","NYSE","0",2013
1019849,"PENSKE AUTOMOTIVE GROUP  INC ","10-K","2013-02-28","edgar/data/1019849/0001104659-13-016197.txt",1,"PAG","5500","NYSE","1",2013
101984,"UNIVERSAL ELECTRONICS INC","10-K","2013-03-14","edgar/data/101984/0001445305-13-000608.txt",1,"UEIC","3651","NASDAQ","2",2013
1020214,"CERUS CORP","10-K","2013-03-12","edgar/data/1020214/0001193125-13-103031.txt",1,"CERS","3841","NASDAQ","1",2013
1020416,"MONSTER WORLDWIDE  INC ","10-K","2013-02-13","edgar/data/1020416/0001193125-13-053858.txt",1,"MWW","7363","NYSE","0",2013
1020569,"IRON MOUNTAIN INC","10-K","2013-03-01","edgar/data/1020569/0001047469-13-002039.txt",1,"IRM","4220","NYSE","0",2013
1020646,"ERF Wireless  Inc ","10-K","2013-03-29","edgar/data/1020646/0001019687-13-001045.txt",1,"ERWF","3669","","0",2013
1020710,"DXP ENTERPRISES INC","10-K","2013-03-11","edgar/data/1020710/0001020710-13-000008.txt",1,"DXPE","5084","NASDAQ","1",2013
1021113,"GUITAR CENTER  INC ","10-K","2013-03-26","edgar/data/1021113/0001104659-13-024368.txt",1,"GTRC","5731","","0",2013
1021270,"FAMOUS DAVES OF AMERICA INC","10-K","2013-03-15","edgar/data/1021270/0001193125-13-109839.txt",1,"DAVE","5812","NASDAQ","1",2013
1021561,"NU SKIN ENTERPRISES INC","10-K","2013-02-27","edgar/data/1021561/0001021561-13-000033.txt",1,"NUS","5122","NYSE","1",2013
1021635,"OGE ENERGY CORP ","10-K","2013-02-27","edgar/data/1021635/0001021635-13-000018.txt",1,"OGE","4911","NYSE","0",2013
1021860,"NATIONAL OILWELL VARCO INC","10-K","2013-02-22","edgar/data/1021860/0001193125-13-070840.txt",1,"NOV","3533","NYSE","4",2013
1022079,"QUEST DIAGNOSTICS INC","10-K","2013-02-27","edgar/data/1022079/0001022079-13-000014.txt",1,"DGX","8071","NYSE","0",2013
102212,"UNIVEST CORP OF PENNSYLVANIA","10-K","2013-03-04","edgar/data/102212/0001193125-13-089571.txt",1,"UVSP","6022","NASDAQ","1",2013
1022321,"GENESIS ENERGY LP","10-K","2013-02-26","edgar/data/1022321/0001022321-13-000017.txt",1,"GEL","5171","NYSE","0",2013
1022469,"DELTIC TIMBER CORP","10-K","2013-03-08","edgar/data/1022469/0001193125-13-097367.txt",1,"DEL","2421","NYSE","0",2013
1022505,"NATIONAL SCIENTIFIC CORP AZ","10-K","2013-01-16","edgar/data/1022505/0000721748-13-000002.txt",1,"NSCT","3674","OTC","0",2013
1022505,"NATIONAL SCIENTIFIC CORP AZ","10-K","2013-02-26","edgar/data/1022505/0000721748-13-000017.txt",1,"NSCT","3674","OTC","0",2013
1022505,"NATIONAL SCIENTIFIC CORP AZ","10-K","2013-03-28","edgar/data/1022505/0000721748-13-000041.txt",1,"NSCT","3674","OTC","0",2013
1022646,"ULTRA PETROLEUM CORP","10-K","2013-02-20","edgar/data/1022646/0001193125-13-067295.txt",1,"UPL","1311","NYSE","1",2013
1022652,"NOVATEL WIRELESS INC","10-K","2013-03-04","edgar/data/1022652/0001193125-13-088274.txt",1,"NVTL","3669","NASDAQ","0",2013
1022671,"STEEL DYNAMICS INC","10-K","2013-02-27","edgar/data/1022671/0001047469-13-001827.txt",1,"STLD","3312","NASDAQ","1",2013
1022705,"TESCO CORP","10-K","2013-03-05","edgar/data/1022705/0001022705-13-000018.txt",1,"TESO","3533","NASDAQ","1",2013
1023024,"BIOSANTE PHARMACEUTICALS INC","10-K","2013-02-28","edgar/data/1023024/0001104659-13-016148.txt",1,"ANIP","2834","NASDAQ","1",2013
1023128,"LITHIA MOTORS INC","10-K","2013-02-22","edgar/data/1023128/0001437749-13-001877.txt",1,"LAD","5500","NYSE","0",2013
1023131,"COVANCE INC","10-K","2013-02-27","edgar/data/1023131/0001047469-13-001792.txt",1,"CVD","8731","NYSE","0",2013
1023291,"Energy Future Holdings Corp  TX ","10-K","2013-02-19","edgar/data/1023291/0001023291-13-000003.txt",1,"TXU","4911","NYSE","0",2013
1023313,"FORRESTER RESEARCH  INC ","10-K","2013-03-18","edgar/data/1023313/0001193125-13-112678.txt",1,"FORR","8700","NASDAQ","1",2013
1023364,"AUTOBYTEL INC","10-K","2013-02-28","edgar/data/1023364/0001023364-13-000006.txt",1,"ABTL","7370","NASDAQ","1",2013
1023734,"BPZ RESOURCES  INC ","10-K","2013-03-15","edgar/data/1023734/0001437749-13-002962.txt",1,"BPZI","1311","NYSE","0",2013
102379,"URS CORP  NEW ","10-K","2013-02-26","edgar/data/102379/0000102379-13-000008.txt",1,"URS","8711","NYSE","2",2013
1023860,"STEWARDSHIP FINANCIAL CORP","10-K","2013-03-28","edgar/data/1023860/0000914317-13-000390.txt",1,"SSFN","6022","NASDAQ","1",2013
1023994,"SG BLOCKS  INC ","10-K","2013-03-28","edgar/data/1023994/0001213900-13-001394.txt",1,"CSDI","5030","","0",2013
1024126,"PERNIX THERAPEUTICS HOLDINGS  INC ","10-K","2013-03-18","edgar/data/1024126/0001354488-13-001300.txt",1,"PTX","2834","NASDAQ","1",2013
1024657,"WEST CORP","10-K","2013-02-08","edgar/data/1024657/0001193125-13-046398.txt",1,"WSTC","7389","NASDAQ","1",2013
1024725,"TENNECO INC","10-K","2013-02-28","edgar/data/1024725/0001193125-13-084604.txt",1,"TEN","3714","NYSE","1",2013
1024732,"IGATE CORP","10-K","2013-03-18","edgar/data/1024732/0001193125-13-111548.txt",1,"IGTE","7371","NASDAQ","1",2013
1024795,"SUN HYDRAULICS CORP","10-K","2013-03-12","edgar/data/1024795/0001193125-13-103067.txt",1,"SNHY","3490","NASDAQ","1",2013
1025315,"24HOLDINGS INC","10-K","2013-03-27","edgar/data/1025315/0001144204-13-017798.txt",1,"TFHD","6770","","0",2013
1025362,"GOLDEN QUEEN MINING CO LTD","10-K","2013-03-18","edgar/data/1025362/0001062993-13-001236.txt",1,"GQM","1000","","0",2013
1025378,"W  P  Carey Inc ","10-K","2013-02-26","edgar/data/1025378/0001104659-13-014285.txt",1,"WPC","6798","NYSE","1",2013
1025536,"TAYLOR CAPITAL GROUP INC","10-K","2013-03-08","edgar/data/1025536/0001025536-13-000045.txt",1,"TAYC","6022","NASDAQ","0",2013
1025835,"ENTERPRISE FINANCIAL SERVICES CORP","10-K","2013-03-15","edgar/data/1025835/0001025835-13-000014.txt",1,"EFSC","6022","NASDAQ","1",2013
1025953,"NOVATION COMPANIES  INC ","10-K","2013-03-01","edgar/data/1025953/0001025953-13-000004.txt",1,"NOVS","6531","NYSE","0",2013
1025996,"KILROY REALTY CORP","10-K","2013-02-12","edgar/data/1025996/0001025996-13-000036.txt",1,"KRC","6798","NYSE","0",2013
1026214,"FEDERAL HOME LOAN MORTGAGE CORP","10-K","2013-02-28","edgar/data/1026214/0001193125-13-084154.txt",1,"FMCC","6111","OTCBB","1",2013
1026655,"CORE MOLDING TECHNOLOGIES INC","10-K","2013-03-27","edgar/data/1026655/0001026655-13-000011.txt",1,"CMT","3089","NYSE MKT","0",2013
1027183,"FIRST SOUTH BANCORP INC  VA ","10-K","2013-03-29","edgar/data/1027183/0001144204-13-018537.txt",1,"FSBK","6022","NASDAQ","1",2013
1027207,"EPIQ SYSTEMS INC","10-K","2013-03-05","edgar/data/1027207/0001047469-13-002153.txt",1,"EPIQ","7371","NASDAQ","1",2013
102729,"VALMONT INDUSTRIES INC","10-K","2013-02-26","edgar/data/102729/0001047469-13-001680.txt",1,"VMI","3440","NYSE","0",2013
