ticker,name,lastsale,marketcap,ipoyear,sector,industry
ADTN,"ADTRAN, Inc.",15.0,718710000.0,1994.0,Public Utilities,Telecommunications Equipment
ADRO,"Aduro Biotech, Inc.",7.2,566860000.0,2015.0,Health Care,Major Pharmaceuticals
ADES,"Advanced Emissions Solutions, Inc.",11.53,236640000.0,,Basic Industries,Major Chemicals
AEIS,"Advanced Energy Industries, Inc.",57.55,2260000000.0,1995.0,Capital Goods,Industrial Machinery/Components
AMD,"Advanced Micro Devices, Inc.",15.0,14540000000.0,,Technology,Semiconductors
ADXS,"Advaxis, Inc.",1.55,81560000.0,,Health Care,Major Pharmaceuticals
ADXSW,"Advaxis, Inc.",0.1741,,,Health Care,Major Pharmaceuticals
ADVM,"Adverum Biotechnologies, Inc.",5.55,345610000.0,2014.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACT,AdvisorShares Vice ETF,25.824,12910000.0,,,
AEGN,Aegion Corp,25.6,829430000.0,,Basic Industries,Water Supply
AGLE,"Aeglea BioTherapeutics, Inc.",10.39,227110000.0,2016.0,Health Care,Major Pharmaceuticals
AEHR,Aehr Test Systems,2.55,55980000.0,1997.0,Capital Goods,Electrical Products
AMTX,"Aemetis, Inc",1.59,32150000.0,,Basic Industries,Major Chemicals
AERI,"Aerie Pharmaceuticals, Inc.",64.05,2530000000.0,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVAV,"AeroVironment, Inc.",70.22,1680000000.0,2007.0,Capital Goods,Aerospace
ARPO,"Aerpio Pharmaceuticals, Inc.",4.19,113750000.0,,Health Care,Major Pharmaceuticals
AEZS,AEterna Zentaris Inc.,1.9999,32880000.0,,Health Care,Major Pharmaceuticals
AEMD,"Aethlon Medical, Inc.",1.321,23460000.0,,Capital Goods,Biotechnology: Laboratory Analytical Instruments
GNMX,"Aevi Genomic Medicine, Inc.",1.03,61120000.0,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AFMD,Affimed N.V.,1.7,106060000.0,2014.0,Health Care,Major Pharmaceuticals
AGEN,Agenus Inc.,2.35,244400000.0,2000.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGRX,"Agile Therapeutics, Inc.",0.53,18150000.0,2014.0,Health Care,Major Pharmaceuticals
AGYS,"Agilysys, Inc.",15.71,365020000.0,,Technology,EDP Services
AGIO,"Agios Pharmaceuticals, Inc.",84.61,4870000000.0,2013.0,Health Care,Major Pharmaceuticals
AGMH,AGM Group Holdings Inc.,20.72,441670000.0,2018.0,Technology,EDP Services
AGNC,AGNC Investment Corp.,18.95,8100000000.0,2008.0,Consumer Services,Real Estate Investment Trusts
AGNCB,AGNC Investment Corp.,25.67,8890000000.0,,Consumer Services,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp.,25.8,,,Consumer Services,Real Estate Investment Trusts
AGFS,"AgroFresh Solutions, Inc.",7.08,357050000.0,2014.0,Finance,Business Services
AGFSW,"AgroFresh Solutions, Inc.",0.37,,2014.0,Finance,Business Services
ALRN,"Aileron Therapeutics, Inc.",5.45,80320000.0,2017.0,Health Care,Major Pharmaceuticals
AIMT,"Aimmune Therapeutics, Inc.",27.78,1610000000.0,2015.0,Health Care,Major Pharmaceuticals
AIRT,"Air T, Inc.",32.8,67000000.0,,Transportation,Air Freight/Delivery Services
ATSG,"Air Transport Services Group, Inc",23.14,1370000000.0,,Transportation,Air Freight/Delivery Services
AIRG,"Airgain, Inc.",9.66,93410000.0,2016.0,Technology,Radio And Television Broadcasting And Communications Equipment
AMCN,AirMedia Group Inc,0.63,39570000.0,2007.0,Technology,Advertising
AKAM,"Akamai Technologies, Inc.",74.23,12620000000.0,1999.0,Miscellaneous,Business Services
AKTX,Akari Therapeutics Plc,2.06,31430000.0,,Health Care,Major Pharmaceuticals
AKCA,"Akcea Therapeutics, Inc.",25.18,2160000000.0,2017.0,Health Care,Major Pharmaceuticals
AKBA,"Akebia Therapeutics, Inc.",9.79,557190000.0,2014.0,Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc,0.3909,32040000.0,2014.0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKRX,"Akorn, Inc.",17.11,2140000000.0,,Health Care,Major Pharmaceuticals
AKTS,"Akoustis Technologies, Inc.",7.65,170080000.0,,Public Utilities,Telecommunications Equipment
ALRM,"Alarm.com Holdings, Inc.",41.48,1960000000.0,2015.0,Technology,Computer Software: Prepackaged Software
ALSK,"Alaska Communications Systems Group, Inc.",1.74,92410000.0,1999.0,Public Utilities,Telecommunications Equipment
ALBO,"Albireo Pharma, Inc.",36.07,430750000.0,,Health Care,Major Pharmaceuticals
ABDC,Alcentra Capital Corp.,6.72,91970000.0,,,
ALDR,"Alder BioPharmaceuticals, Inc.",16.275,1100000000.0,2014.0,Health Care,Major Pharmaceuticals
ALDX,"Aldeyra Therapeutics, Inc.",8.05,161880000.0,2014.0,Health Care,Major Pharmaceuticals
ALXN,"Alexion Pharmaceuticals, Inc.",125.76,27980000000.0,1996.0,Health Care,Major Pharmaceuticals
ALCO,"Alico, Inc.",31.1,255870000.0,,Consumer Non-Durables,Farming/Seeds/Milling
ALGN,"Align Technology, Inc.",338.68,27150000000.0,2001.0,Health Care,Industrial Specialties
ALIM,"Alimera Sciences, Inc.",1.01,70740000.0,2010.0,Health Care,Major Pharmaceuticals
ALJJ,"ALJ Regional Holdings, Inc.",1.9,72050000.0,,Miscellaneous,Business Services
ALKS,Alkermes plc,40.69,6310000000.0,1991.0,Health Care,Major Pharmaceuticals
ABTX,"Allegiance Bancshares, Inc.",43.55,580980000.0,2015.0,Finance,Major Banks
ALGT,Allegiant Travel Company,139.45,2250000000.0,2006.0,Transportation,Air Freight/Delivery Services
ALGRU,Allegro Merger Corp.,10.05,,2018.0,Finance,Business Services
ALNA,"Allena Pharmaceuticals, Inc.",13.5,279390000.0,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMMA,"Alliance MMA, Inc.",0.3038,4520000.0,2016.0,Consumer Services,Services-Misc. Amusement & Recreation
ARLP,"Alliance Resource Partners, L.P.",18.0,3970000000.0,1999.0,Energy,Coal Mining
AHPI,"Allied Healthcare Products, Inc.",2.42,9710000.0,1992.0,Health Care,Industrial Specialties
AMOT,"Allied Motion Technologies, Inc.",48.5,459860000.0,,Capital Goods,Electrical Products
ALQA,"Alliqua BioMedical, Inc.",1.98,9910000.0,,Health Care,Medical/Dental Instruments
ALLT,Allot Communications Ltd.,5.31,178350000.0,2006.0,Technology,Computer Communications Equipment
MDRX,"Allscripts Healthcare Solutions, Inc.",12.04,2140000000.0,,Technology,EDP Services
ALNY,"Alnylam Pharmaceuticals, Inc.",98.62,9910000000.0,2004.0,Health Care,Major Pharmaceuticals
AOSL,Alpha and Omega Semiconductor Limited,14.2,339100000.0,2010.0,Technology,Semiconductors
GOOG,Alphabet Inc.,1102.89,766010000000.0,2004.0,Technology,"Computer Software: Programming, Data Processing"
GOOGL,Alphabet Inc.,1116.28,775310000000.0,,Technology,"Computer Software: Programming, Data Processing"
SMCP,AlphaMark Actively Managed Small Cap ETF,26.3912,29030000.0,,,
ATEC,"Alphatec Holdings, Inc.",2.77,117400000.0,2006.0,Health Care,Medical/Dental Instruments
ALPN,"Alpine Immune Sciences, Inc.",7.72,106920000.0,2015.0,Health Care,Major Pharmaceuticals
SWIN,ALPS/Dorsey Wright Sector Momentum ETF,31.1973,10920000.0,,,
AMR,"Alta Mesa Resources, Inc.",6.74,2590000000.0,2017.0,Finance,Business Services
AMRWW,"Alta Mesa Resources, Inc.",1.39,,2017.0,Finance,Business Services
AABA,Altaba Inc.,72.79,58950000000.0,,Technology,EDP Services
ALTR,Altair Engineering Inc.,33.8,2190000000.0,2017.0,Technology,Computer Software: Prepackaged Software
ALT,"Altimmune, Inc.",0.41700000000000004,14490000.0,,Health Care,Major Pharmaceuticals
ASPS,Altisource Portfolio Solutions S.A.,30.24,520270000.0,,Consumer Services,Other Consumer Services
AIMC,Altra Industrial Motion Corp.,43.25,1270000000.0,2006.0,Capital Goods,Industrial Machinery/Components
AMAG,"AMAG Pharmaceuticals, Inc.",20.15,691680000.0,,Health Care,Major Pharmaceuticals
AMRN,Amarin Corporation plc,3.0,880750000.0,,Health Care,Major Pharmaceuticals
AMRK,"A-Mark Precious Metals, Inc.",13.6,95630000.0,,Basic Industries,Other Specialty Stores
AMZN,"Amazon.com, Inc.",1693.96,821950000000.0,1997.0,Consumer Services,Catalog/Specialty Distribution
AMBC,"Ambac Financial Group, Inc.",19.48,883070000.0,,Finance,Property-Casualty Insurers
AMBCW,"Ambac Financial Group, Inc.",9.21,,,Finance,Property-Casualty Insurers
AMBA,"Ambarella, Inc.",37.98,1270000000.0,2012.0,Technology,Semiconductors
AMCX,AMC Networks Inc.,61.72,3550000000.0,,Consumer Services,Television Services
DOX,Amdocs Limited,66.39,9520000000.0,,Technology,EDP Services
AMDA,Amedica Corporation,0.88,6360000.0,2014.0,Health Care,Medical/Dental Instruments
AMED,Amedisys Inc,91.81,2910000000.0,,Health Care,Medical/Nursing Services
UHAL,Amerco,365.4,7160000000.0,,Consumer Services,Rental/Leasing Companies
AMRH,"Ameri Holdings, Inc.",1.16,21800000.0,,Technology,Semiconductors
AMRHW,"Ameri Holdings, Inc.",0.18,,,Technology,Semiconductors
ATAX,"America First Multifamily Investors, L.P.",6.375,385390000.0,,Finance,Finance: Consumer Services
AMOV,"America Movil, S.A.B. de C.V.",16.413,54210000000.0,,Public Utilities,Telecommunications Equipment
AAL,"American Airlines Group, Inc.",37.75,17670000000.0,,Transportation,Air Freight/Delivery Services
ACSF,"American Capital Senior Floating, Ltd.",12.3,123000000.0,2014.0,,
AETI,"American Electric Technologies, Inc.",1.22,10680000.0,,Energy,Industrial Machinery/Components
AMNB,"American National Bankshares, Inc.",41.0,356200000.0,,Finance,Major Banks
ANAT,American National Insurance Company,119.92,3220000000.0,,Finance,Life Insurance
AOBC,American Outdoor Brands Corporation,11.73,637730000.0,,Capital Goods,Ordnance And Accessories
APEI,"American Public Education, Inc.",43.8,718280000.0,2007.0,Consumer Services,Other Consumer Services
ARII,"American Railcar Industries, Inc.",39.62,756100000.0,2006.0,Capital Goods,Railroads
AMRB,American River Bankshares,16.75,98570000.0,,Finance,Major Banks
AMSWA,"American Software, Inc.",15.24,463400000.0,,Technology,Computer Software: Prepackaged Software
AMSC,American Superconductor Corporation,7.06,148110000.0,1991.0,Consumer Durables,Metal Fabrications
AMWD,American Woodmark Corporation,90.4,1580000000.0,1986.0,Basic Industries,Forest Products
CRMT,"America&#39;s Car-Mart, Inc.",63.85,444240000.0,,Consumer Durables,Automotive Aftermarket
ABCB,Ameris Bancorp,52.8,2160000000.0,1994.0,Finance,Major Banks
AMSF,"AMERISAFE, Inc.",57.45,1110000000.0,2005.0,Finance,Property-Casualty Insurers
ASRV,AmeriServ Financial Inc.,4.1,73940000.0,,Finance,Major Banks
ASRVP,AmeriServ Financial Inc.,29.479,,,Finance,Major Banks
ATLO,Ames National Corporation,31.3,291430000.0,,Finance,Major Banks
AMGN,Amgen Inc.,185.71,122890000000.0,1983.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FOLD,"Amicus Therapeutics, Inc.",15.95,3010000000.0,2007.0,Health Care,Major Pharmaceuticals
AMKR,"Amkor Technology, Inc.",8.45,2020000000.0,1998.0,Technology,Semiconductors
AMPH,"Amphastar Pharmaceuticals, Inc.",15.76,734640000.0,2014.0,Health Care,Major Pharmaceuticals
IBUY,Amplify Online Retail ETF,51.41,457550000.0,,,
ASYS,"Amtech Systems, Inc.",5.77,85950000.0,,Technology,Industrial Machinery/Components
AFSI,"AmTrust Financial Services, Inc.",14.58,2860000000.0,,Finance,Property-Casualty Insurers
AMRS,"Amyris, Inc.",6.23,313600000.0,2010.0,Basic Industries,Major Chemicals
ADI,"Analog Devices, Inc.",94.51,35050000000.0,,Technology,Semiconductors
ANAB,"AnaptysBio, Inc.",72.86,1710000000.0,2017.0,Health Care,Major Pharmaceuticals
AVXL,Anavex Life Sciences Corp.,3.82,170600000.0,,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ANCB,Anchor Bancorp,26.245,65190000.0,2011.0,Finance,Banks
ANGI,ANGI Homeservices Inc.,15.78,7580000000.0,,Consumer Services,Advertising
ANGO,"AngioDynamics, Inc.",22.43,825530000.0,2004.0,Health Care,Medical/Dental Instruments
ANIP,"ANI Pharmaceuticals, Inc.",67.9,801040000.0,,Health Care,Major Pharmaceuticals
ANIK,Anika Therapeutics Inc.,32.83,469810000.0,,Health Care,Medical/Dental Instruments
ANSS,"ANSYS, Inc.",173.34,14560000000.0,1996.0,Technology,Computer Software: Prepackaged Software
ATRS,"Antares Pharma, Inc.",2.69,421860000.0,,Health Care,Medical/Dental Instruments
APLS,"Apellis Pharmaceuticals, Inc.",20.99,1170000000.0,2017.0,Health Care,Major Pharmaceuticals
APOG,"Apogee Enterprises, Inc.",47.91,1350000000.0,,Capital Goods,Auto Parts:O.E.M.
APEN,"Apollo Endosurgery, Inc.",6.88,120470000.0,,Health Care,Medical/Dental Instruments
AINV,Apollo Investment Corporation,5.66,1220000000.0,2004.0,,
AMEH,"Apollo Medical Holdings, Inc.",26.72,890690000.0,,Consumer Services,Professional Services
APPF,"AppFolio, Inc.",61.75,2109999999.0,2015.0,Technology,Computer Software: Prepackaged Software
APPN,Appian Corporation,33.59,2060000000.0,2017.0,Technology,Computer Software: Prepackaged Software
AAPL,Apple Inc.,183.92,903990000000.0,1980.0,Technology,Computer Manufacturing
ARCI,"Appliance Recycling Centers of America, Inc.",0.6402,4400000.0,,Consumer Services,Home Furnishings
APDN,Applied DNA Sciences Inc,1.3,39150000.0,,Consumer Services,Other Consumer Services
APDNW,Applied DNA Sciences Inc,0.17,,,Consumer Services,Other Consumer Services
AGTC,Applied Genetic Technologies Corporation,4.25,76970000.0,2014.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMAT,"Applied Materials, Inc.",44.8,45160000000.0,1972.0,Technology,Semiconductors
AAOI,"Applied Optoelectronics, Inc.",45.97,900050000.0,2013.0,Technology,Semiconductors
AREX,Approach Resources Inc.,2.4,227110000.0,2007.0,Energy,Oil & Gas Production
APTI,"Apptio, Inc.",36.34,1590000000.0,2016.0,Technology,Computer Software: Prepackaged Software
APRI,"Apricus Biosciences, Inc.",0.3792,8890000.0,,Health Care,Major Pharmaceuticals
APVO,Aptevo Therapeutics Inc.,4.99,112700000.0,,Health Care,Major Pharmaceuticals
APTX,Aptinyx Inc.,25.02,814060000.0,2018.0,Health Care,Major Pharmaceuticals
APTO,"Aptose Biosciences, Inc.",3.91,130650000.0,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AQMS,"Aqua Metals, Inc.",2.87,82350000.0,2015.0,Basic Industries,Metal Fabrications
AQB,"AquaBounty Technologies, Inc.",3.22,41300000.0,,,
AQXP,"Aquinox Pharmaceuticals, Inc.",2.7,63470000.0,2014.0,Health Care,Major Pharmaceuticals
ARDM,Aradigm Corporation,1.46,22210000.0,1996.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ARLZ,Aralez Pharmaceuticals Inc.,0.33,22100000.0,,Health Care,Major Pharmaceuticals
PETX,"Aratana Therapeutics, Inc.",4.22,199020000.0,2013.0,Health Care,Major Pharmaceuticals
ABUS,Arbutus Biopharma Corporation,8.3,457890000.0,,Health Care,Major Pharmaceuticals
ARCW,"ARC Group Worldwide, Inc.",2.3,53600000.0,,Capital Goods,Metal Fabrications
ABIO,"ARCA biopharma, Inc.",0.54,7520000.0,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
RKDA,"Arcadia Biosciences, Inc.",8.11,38720000.0,2015.0,Basic Industries,Agricultural Chemicals
ARCB,ArcBest Corporation,45.15,1160000000.0,,Transportation,Trucking Freight/Courier Services
ACGL,Arch Capital Group Ltd.,26.76,10900000000.0,,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd.,24.74,,,Finance,Property-Casualty Insurers
ACGLP,Arch Capital Group Ltd.,24.15,,,Finance,Property-Casualty Insurers
FUV,"Arcimoto, Inc.",4.365,69490000.0,2017.0,Consumer Non-Durables,Motor Vehicles
ARCT,Arcturus Therapeutics Ltd.,9.0,92920000.0,2013.0,,
ARDX,"Ardelyx, Inc.",4.2,252430000.0,2014.0,Health Care,Major Pharmaceuticals
ARNA,"Arena Pharmaceuticals, Inc.",44.24,2180000000.0,2000.0,Health Care,Major Pharmaceuticals
ARCC,Ares Capital Corporation,16.45,7010000000.0,2004.0,,
ARGX,argenx SE,86.0,2790000000.0,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARKR,Ark Restaurants Corp.,24.73,85270000.0,,Consumer Services,Restaurants
ARTX,Arotech Corporation,3.8,100700000.0,1994.0,Miscellaneous,Industrial Machinery/Components
ARQL,"ArQule, Inc.",5.76,501840000.0,1996.0,Health Care,Major Pharmaceuticals
ARRY,Array BioPharma Inc.,17.1,3600000000.0,2000.0,Health Care,Major Pharmaceuticals
ARRS,ARRIS International plc,25.17,4690000000.0,,Technology,Radio And Television Broadcasting And Communications Equipment
DWCR,Arrow DWA Country Rotation ETF,28.49,14250000.0,,,
DWAT,Arrow DWA Tactical ETF,11.807,5900000.0,,,
AROW,Arrow Financial Corporation,37.55,524549999.0,,Finance,Major Banks
ARWR,"Arrowhead Pharmaceuticals, Inc.",15.02,1320000000.0,,Health Care,Major Pharmaceuticals
ASNS,"Arsanis, Inc.",3.85,55030000.0,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARTNA,Artesian Resources Corporation,38.46,355000000.0,,Public Utilities,Water Supply
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",2.75,11550000.0,,Capital Goods,Industrial Machinery/Components
ASNA,"Ascena Retail Group, Inc.",3.79,743650000.0,,Consumer Services,Clothing/Shoe/Accessory Stores
ASND,Ascendis Pharma A/S,68.74,2870000000.0,2015.0,Health Care,Major Pharmaceuticals
ASCMA,"Ascent Capital Group, Inc.",3.45,42780000.0,,Consumer Services,Other Consumer Services
APWC,Asia Pacific Wire & Cable Corporation Limited,2.55,35240000.0,,Basic Industries,Telecommunications Equipment
ASLN,ASLAN Pharmaceuticals Limited,8.1,271560000.0,2018.0,Health Care,Major Pharmaceuticals
ASML,ASML Holding N.V.,191.47,81830000000.0,1995.0,Technology,Industrial Machinery/Components
ASPU,Aspen Group Inc.,7.06,129570000.0,,Consumer Services,Other Consumer Services
AZPN,"Aspen Technology, Inc.",94.31,6740000000.0,1994.0,Technology,EDP Services
ASMB,"Assembly Biosciences, Inc.",39.45,810730000.0,,Health Care,Major Pharmaceuticals
ASFI,"Asta Funding, Inc.",3.4,22520000.0,1995.0,Finance,Finance Companies
ASTE,"Astec Industries, Inc.",59.62,1380000000.0,1986.0,Capital Goods,Construction/Ag Equipment/Trucks
ATRO,Astronics Corporation,36.62,1030000000.0,,Capital Goods,Military/Government/Technical
ALOT,"AstroNova, Inc.",19.1,131000000.0,1983.0,Technology,Computer peripheral equipment
ASTC,Astrotech Corporation,3.41,14030000.0,,Capital Goods,Military/Government/Technical
ASUR,Asure Software Inc,16.21,243110000.0,,Technology,EDP Services
ASV,"ASV Holdings, Inc.",5.94,58340000.0,2017.0,Capital Goods,Construction/Ag Equipment/Trucks
ATAI,ATA Inc.,4.28,103620000.0,2008.0,Consumer Services,Other Consumer Services
ATRA,"Atara Biotherapeutics, Inc.",39.15,1720000000.0,2014.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATHN,"athenahealth, Inc.",158.02,6390000000.0,2007.0,Miscellaneous,Business Services
ATNX,"Athenex, Inc.",19.81,1260000000.0,2017.0,Health Care,Major Pharmaceuticals
ATHX,"Athersys, Inc.",1.95,269020000.0,,Health Care,Major Pharmaceuticals
ATAC,Atlantic Acquisition Corp.,10.18,20320000.0,2017.0,Consumer Non-Durables,Food Distributors
ATACR,Atlantic Acquisition Corp.,0.495,,2017.0,Consumer Non-Durables,Food Distributors
ATACU,Atlantic Acquisition Corp.,10.75,,2017.0,Consumer Non-Durables,Food Distributors
AAME,Atlantic American Corporation,2.55,51670000.0,,Finance,Life Insurance
ACBI,"Atlantic Capital Bancshares, Inc.",19.8,515539999.0,,Finance,Major Banks
AY,Atlantica Yield plc,20.32,2040000000.0,2014.0,Public Utilities,Electric Utilities: Central
ATLC,Atlanticus Holdings Corporation,2.01,30850000.0,1995.0,Finance,Finance: Consumer Services
AAWW,Atlas Air Worldwide Holdings,71.5,1830000000.0,,Transportation,Transportation Services
AFH,"Atlas Financial Holdings, Inc.",9.25,110420000.0,2013.0,Finance,Property-Casualty Insurers
AFHBL,"Atlas Financial Holdings, Inc.",24.91,,,Finance,Property-Casualty Insurers
TEAM,Atlassian Corporation Plc,62.98,14740000000.0,2015.0,Technology,Computer Software: Prepackaged Software
ATNI,"ATN International, Inc.",54.06,864100000.0,,Public Utilities,Telecommunications Equipment
ATOM,Atomera Incorporated,6.0,74170000.0,2016.0,Technology,Semiconductors
ATOS,Atossa Genetics Inc.,2.2253,5900000.0,2012.0,Health Care,Major Pharmaceuticals
ATRC,"AtriCure, Inc.",28.14,986030000.0,2005.0,Health Care,Medical/Dental Instruments
ATRI,Atrion Corporation,604.9,1120000000.0,,Health Care,Medical/Dental Instruments
ATIS,Attis Industries Inc.,0.4076,7250000.0,,Basic Industries,Miscellaneous
ATISW,Attis Industries Inc.,0.1043,,,Basic Industries,Miscellaneous
ATTU,Attunity Ltd.,11.74,243460000.0,,Technology,Computer Software: Prepackaged Software
LIFE,"aTyr Pharma, Inc.",0.87,25950000.0,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AUBN,"Auburn National Bancorporation, Inc.",49.9,181820000.0,,Finance,Major Banks
BOLD,"Audentes Therapeutics, Inc.",39.94,1470000000.0,2016.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AUDC,AudioCodes Ltd.,7.83,226230000.0,1999.0,Public Utilities,Telecommunications Equipment
AUPH,Aurinia Pharmaceuticals Inc,5.62,474770000.0,,Health Care,Major Pharmaceuticals
EARS,Auris Medical Holding AG,0.68,4160000.0,2014.0,Health Care,Major Pharmaceuticals
ADSK,"Autodesk, Inc.",131.6,28840000000.0,,Technology,Computer Software: Prepackaged Software
AUTL,Autolus Therapeutics plc,23.84,924660000.0,2018.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADP,"Automatic Data Processing, Inc.",133.66,58880000000.0,,Technology,EDP Services
